#  
#  this  is  the  first  line,
#  third  line
#  
21.898  30.795  24.039  32.004  31.679
31.208  28.192  16.578  28.505  29.826
28.966  20.140  19.367  13.739  32.166
27.653  11.656  33.114  14.588  33.635
33.641  22.752  21.127  11.500  35.651
23.803  32.714  25.067  33.759  18.681
34.565  18.236  33.877  12.927  36.096
21.701  35.040  30.090  27.133  17.109
32.976  13.265  20.004  13.088  15.240
30.705  16.077  31.106  20.204  13.168
24.651  22.031  26.019  10.998  25.902
10.965  14.422  17.783  19.169  15.797
19.525  27.518  31.075  29.398  33.933
29.717  23.371  17.149  29.300  29.173
21.982  14.492  28.809  11.002  11.425
11.096  28.937  17.061  23.935  21.526
20.342  11.199  29.767  19.309  14.490
13.197  32.749  33.635  20.541  24.693
26.831  21.208  36.068  11.531  14.589
25.449  17.961  35.181  12.832  11.374
18.715  16.118  22.891  33.182  31.617
14.713  20.936  25.463  23.382  24.369
32.837  34.678  35.578  12.922  13.725
35.724  27.841  15.289  13.860  16.601
25.637  19.618  31.143  20.526  16.503
17.732  15.281  14.979  17.724  15.095
29.455  28.112  19.048  35.000  18.295
28.991  35.626  35.647  29.580  22.750
13.499  26.474  19.154  33.681  19.410
15.723  12.087  13.356  15.361  26.783
19.342  17.539  15.992  13.699  23.661
27.557  14.105  30.459  20.604  16.928
16.846  31.672  31.182  20.947  15.593
15.707  17.116  11.829  18.291  33.100
28.649  35.248  16.805  22.207  20.007
33.991  21.306  29.332  14.053  30.088
14.184  25.615  34.439  34.859  32.317
15.582  23.661  12.646  29.012  23.001
16.512  34.738  30.074  14.779  17.875
12.218  23.423  34.159  25.145  18.609
31.798  27.273  31.471  26.511  24.633
31.468  34.642  16.964  29.344  21.425
31.343  29.769  22.212  28.577  25.726
10.851  33.020  31.002  29.109  13.684
25.508  30.037  34.996  35.959  15.593
29.959  33.817  22.560  15.914  26.198
12.783  17.331  28.221  28.956  32.587
23.153  22.010  35.634  25.310  22.698
17.054  17.731  18.872  26.452  27.203
26.611  32.670  12.069  25.312  10.815
12.421  15.603  18.341  30.276  20.632
21.791  17.190  15.030  35.373  18.303
35.544  26.367  31.202  12.447  17.739
35.413  11.601  19.806  16.009  28.486
22.987  33.823  22.457  22.853  26.620
19.475  11.383  27.917  33.123  12.855
28.760  17.571  32.902  28.845  12.263
13.700  36.081  30.928  32.312  16.470
12.802  18.005  25.312  22.385  29.854
20.752  27.528  16.005  24.137  34.512
11.177  34.421  22.037  29.346  34.089
25.720  25.284  19.816  17.457  10.905
23.145  15.166  30.607  34.601  28.369
19.337  12.821  25.077  11.513  11.524
18.776  17.809  12.587  18.652  27.182
27.148  35.607  22.505  35.628  33.520
29.907  30.370  21.272  19.782  29.650
19.419  19.146  33.079  28.211  13.610
35.601  19.621  26.611  18.318  24.801
33.426  35.359  19.430  35.986  14.910
17.105  12.358  25.533  19.777  33.732
16.068  30.900  15.302  15.152  15.866
30.252  21.496  11.330  26.238  14.753
14.630  17.228  16.569  20.950  19.608
33.063  22.657  36.076  26.381  14.131
27.977  32.827  27.928  35.198  23.332
26.252  17.899  19.505  23.691  15.451
29.734  19.396  32.879  27.588  15.153
22.792  29.023  17.225  34.256  35.429
32.015  28.585  19.679  20.753  22.736
33.440  20.157  28.310  27.398  33.841
30.571  25.663  21.443  23.295  34.167
33.335  35.339  26.267  34.668  24.032
33.635  12.487  13.311  24.164  33.476
29.988  31.391  29.572  28.177  17.388
28.227  12.579  18.713  35.785  22.620
20.913  14.582  21.033  10.969  27.012
29.471  19.569  24.350  20.916  17.615
18.941  32.168  17.855  14.704  15.042
17.715  23.228  23.325  13.757  16.729
16.291  33.004  17.798  10.790  15.912
18.861  20.621  24.265  13.864  31.422
12.115  20.971  16.440  24.365  24.983
26.259  29.761  34.493  29.386  23.872
25.724  13.324  15.065  30.530  25.100
21.944  22.695  33.190  15.327  29.223
26.019  26.248  26.766  25.610  12.448
15.252  36.101  30.071  35.465  18.114
31.401  14.596  17.786  26.358  14.219
20.682  22.342  16.809  19.771  35.253
2  16.809  19.771  35.253
